 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,201,General Biochemistry,60211,A,L,C,35,26,17:00,19:45,M T W R F   ,HILLS,122,Baribault,3  
AGBI,202,General Biochemistry Lab,60212,A,B,C,14,11,17:00,19:45,M T W R    ,HILLS,128,Baribault,1  
ANNB,301,Medical Gross Anatomy,60213,A,L,C,30,20,09:00,16:00,M T W R F   ,GIVN D,D417,Szilva,8
ANNB,302,Human Neuroanatomy,60214,A,L,C,60,46,TBA,,       ,GIVN E,E401,Wells,4
ANNB,302,Human Neuroanatomy,60669,WD,L,C,999,1,TBA,,       ,,,,4
ANTH,021,Human Cultures,60215,A,L,C,14,11,09:00,11:00,M T W R    ,WILLMS,511,Gordon,3  
ANTH,024,Prehistoric Archaeology,60216,A,L,C,15,9,09:00,11:00,M T W R    ,LAFAYE,L100,Wilson,3  
ANTH,024,Prehistoric Archaeology,60506,B,L,C,10,1,09:00,11:00,M T W R    ,LAFAYE,L100,Mills,3  
ANTH,024,Prehistoric Archaeology,60665,WD,L,C,999,1,09:00,11:00,       ,,,,3  
ANTH,196,Applied Archaeology,60217,A,L,C,15,10,08:00,12:00,M T W R F   ,WILLMS,511,Mills,3
ANTH,197,Readings & Research,60697,A,T,M,1,0,TBA,,       ,,,Haviland,3
ANTH,200,Field Work in Archaeology,60218,A,L,C,15,17,08:30,16:30,M T W R F   ,WILLMS,511,Petersen,6
ART,001,Drawing,60001,A,O,C,26,27,16:00,18:30,M T W R F   ,WILLMS,416,Owre,3  
ART,002,Two-Dimensional Studies,60002,A,O,C,15,18,09:00,12:30,M T W R    ,WILLMS,305,Brennan,3  
ART,003,Three-Dimensional Studies,60003,A,O,C,15,13,09:30,11:30,M T W R F   ,WILLMS,207,Fry,3  
ART,004,Intro to Film/Video Production,60219,A,O,C,13,14,09:00,11:00,M T W R    ,BAILEY,001B,Ungerer,3  
ART,004,Intro to Film/Video Production,60508,B,O,C,12,12,09:00,11:00,M T W R    ,BAILEY,001B,Ungerer,3  
ART,006,Western Art:Renaissance-Modern,60004,A,L,C,30,10,09:30,11:30,M T W R F   ,LAFAYE,L309,Schlegel,3  
ART,095,Introduction to Pastel,60220,A,O,C,15,7,12:00,14:30,M T W R    ,WILLMS,416,Dye,3
ART,095,Intro to Ceramics,60221,B,O,C,10,10,09:00,11:00,M T W R    ,WILLMS,106,Carter,3
ART,095,Introduction to Photography,60222,C,O,C,6,5,09:00,11:00,M T W R    ,L/L-B,B101,Miller,3
ART,095,Intro to Landscape Painting,60223,D,O,C,15,10,15:00,17:30,M T W R    ,WILLMS,416,Dye,3
ART,095,Figure Drawing Sessions,60352,E,O,C,12,4,10:00,13:00,     S  ,WILLMS,416,Brandt,1
ART,095,Figure Drawing Sessions,60400,F,L,C,12,2,10:00,13:00,     S  ,WILLMS,416,Brandt,0
ART,095,Intro Architectural Design,60458,G,B,C,20,4,13:00,15:45,M T W R F   ,WILLMS,305,Hannigan,3
ART,095,Introduction to Ceramics,60509,H,L,C,10,8,09:00,11:00,M T W R    ,WILLMS,106,Carter,3
ART,095,Intro to Photography,60510,I,O,C,6,6,09:00,11:00,M T W R    ,L/L-B,B101,Miller,3
ART,095,Intro to Photography,60620,J,O,C,12,4,13:00,15:00,M T W R    ,L/L-B,B132,Miller,3
ART,095,ST in Clay:Wheel Throwing,60630,K,L,M,1,1,TBA,,       ,,,Carter,1
ART,096,Learning to Look,60005,EG1,L,C,15,8,TBA,,       ,,,Fengler-St,3
ART,113,Clay: Hand Building,60007,A,O,C,20,11,09:00,11:00,M T W R F   ,WILLMS,106,Carter,3  
ART,116,Drawing From the Figure,60353,A,O,C,12,12,14:00,17:00, T W R    ,RT THR,210,Thaler,3  
ART,132,Printmaking: Silkscreen,60008,A,O,C,15,16,09:00,12:00,M T W R F   ,WILLMS,309,Davison,3  
ART,137,Photography,60009,A,O,C,15,15,10:00,12:30,M T W R F   ,WILLMS,506,Higgins,3  
ART,138,Color Photography,60010,A,O,C,12,9,15:00,18:15, T W R F   ,WILLMS,506,Brennan,3  
ART,141,Sculpture,60011,A,O,C,15,5,12:00,14:00,M T W R F   ,WILLMS,112,Fry,3  
ART,144,Computer Art,60229,A,O,C,20,10,12:00,16:00,M T W R F   ,WATERM,113T,Meyer,3  
ART,145,Graphic Design,60012,A,O,C,18,4,09:00,12:45,M T W R F   ,WILLMS,305,McIntyre,3  
ART,195,Painting from a Spiritual Ctr,60013,A,O,C,15,9,13:00,15:30,M T W R F   ,WILLMS,213,Davis,3
ART,195,Drawing & the Natural World,60014,B,O,C,15,11,09:00,12:00,M T W R F   ,WILLMS,416,Davis,3
ART,195,Watercolor,60230,C,O,C,15,9,09:00,11:30,M T W R    ,WILLMS,213,Dye,3
