 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor First,Instructor Last,Credits
ALAN,051,D1:Intr ALANA US Ethnic Stdies,90564,A,LEC,M,35,35,09:35,10:25,M  W  F   ,WILLMS,402,Brian,Gilley,3
ANFS,395,Doctoral Seminar,93239,B,SEM,M,50,12,11:45,13:40,    F   ,TERRIL,108,Stephen,Pintauro,1 to 4
ANFS,395,Research Methods,93237,C,LEC,M,35,18,13:00,17:00,M       ,TERRIL,308,Stephen,Pintauro,3
ANFS,491,Doctoral Dissertation,90055,A,TD,M,20,12,TBA,,       ,,,John,Burke,1 to 18
ANNB,197,Undergrad Research,90107,A,RSCH,M,10,0,TBA,,       ,,,Cynthia,Forehand,1 to 6
ANNB,261,Neurobiology,92908,A,LEC,M,5,5,11:30,12:45, T  R    ,ML SCI,105,Eugene,Delay,3
ANNB,381,Sem in Anatomy & Neurobiology,90110,A,SEM,M,30,12,12:00,13:00,   R    ,HSRF,400,Cynthia,Forehand,1
ANNB,491,Doctoral Dissertation Research,90111,A,TD,M,20,0,TBA,,       ,,,Cynthia,Forehand,1 to 18
ANPS,019,Ugr Hum Anatomy & Physiology,90048,A,LEC,M,250,256,12:50,13:40,M  W  F   ,GIVN E,E131,Ellen,Cornbrooks,4
ANTH,021,D2: Human Cultures,91701,A,LEC,M,293,296,14:30,15:45, T  R    ,BLLNGS,LH,Cameron,Wesson,3
ANTH,021,TAP/D2:Human Cultures,91703,B,LEC,M,22,23,13:00,14:15, T  R    ,WILLMS,511,Elizabeth,Smith,3
ANTH,021,D2: Human Cultures,93684,C,LEC,M,160,157,08:30,09:20,M  W  F   ,FLEMIN,101,Robert,Gordon,3
ANTH,021,D2: Human Cultures,91702,Z1,LEC,C,5,6,14:30,15:45, T  R    ,BLLNGS,LH,Cameron,Wesson,3
ANTH,021,D2: Human Cultures,93686,Z2,LEC,C,5,5,08:30,09:20,M  W  F   ,FLEMIN,101,Robert,Gordon,3
ANTH,024,D2: Prehistoric Archaeology,91706,A,LEC,M,157,162,10:40,11:30,M  W  F   ,VOTEY,105,Scott,Van Keuren,3
ANTH,024,TAP/D2:Prehistoric Archaeology,91707,B,LEC,M,22,22,08:30,09:20,M  W  F   ,WILLMS,511,Scott,Van Keuren,3
ANTH,024,D2: Prehistoric Archaeology,93687,Z1,LEC,C,5,4,10:40,11:30,M  W  F   ,VOTEY,105,Scott,Van Keuren,3
ANTH,026,TAP:Biological  Anthropology,91708,A,LEC,M,22,22,10:00,11:15, T  R    ,WILLMS,511,Deborah,Blom,3
ANTH,026,Biological  Anthropology,93906,Z1,LEC,C,20,19,17:30,18:45, T  R    ,WILLMS,511,Deborah,Blom,3
ANTH,095,TAP: Going Abroad,93688,A,LEC,M,21,21,10:40,11:30,M  W  F   ,WILLMS,511,Robert,Gordon,3
ANTH,095,ISSP/D2:Cult&Global Prob,93690,B,LEC,M,30,30,10:40,11:30,M  W  F   ,BLLNGS,MLK,Luis,Vivanco,3
ANTH,140,Primates and Anthropology,91715,A,LEC,M,40,39,14:30,15:45, T  R    ,LAFAYE,L300,Deborah,Blom,3
ANTH,152,D2:Chinese Culture,93692,A,LEC,M,45,35,16:00,17:15, T  R    ,PERKIN,107,Jeanne,Shea,3
ANTH,160,D1: North American Indians,93693,A,LEC,M,160,160,13:55,14:45,M  W  F   ,ROWELL,103,Brian,Gilley,3
ANTH,160,D1: North American Indians,93694,Z1,LEC,C,5,5,13:55,14:45,M  W  F   ,ROWELL,103,Brian,Gilley,3
ANTH,180,D2: Psychological Anthropology,93695,A,LEC,M,45,47,13:00,14:15, T  R    ,PERKIN,107,Jeanne,Shea,3
ANTH,184,Street Children,94355,A,LEC,M,45,45,15:00,15:50,M  W  F   ,PERKIN,107,Jonah,Steinberg,3
ANTH,195,D2: Food and Culture,94178,B,LEC,M,10,10,08:30,09:20,M  W  F   ,HILLS,234,Amy,Trubek,4
