 Subj,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
"ALAN","051","D1:Intr ALANA US Ethnic Stdies","90278","A","LEC","M","95","92","12:50","13:40","M  W  F   ","L/L CM","315","Matsumoto, Noriko ","3"
"ALAN","051","D1:Intr ALANA US Ethnic Stdies","94279","ZRA","LEC","C","3","3","12:50","13:40","M  W  F   ","L/L CM","315","Matsumoto, Noriko ","3"
"ANFS","395","Doctoral Seminar","93887","A","SEM","M","20","9","11:45","12:35","    F   ","TERRIL","108","Kerr, David E.","1 to 4"
"ANFS","491","Doctoral Dissertation","90036","A","TD","M","20","13","TBA","","       ","","","Harvey-Berino, Jean Ruth","1 to 18"
"ANNB","197","Undergrad Research","90068","A","RSCH","M","10","0","TBA","","       ","","","Forehand, Cynthia J.","1 to 6"
"ANNB","261","Neurobiology","91480","A","LEC","M","5","4","11:30","12:45"," T  R    ","ML SCI","105","Delay, Eugene Raymond","3"
"ANNB","261","Neurobiology","95029","WD","LEC","C","1","1","11:30","12:45","       ","","","","3"
"ANNB","261","Neurobiology","94676","ZRA","LEC","C","2","2","11:30","12:45"," T  R    ","ML SCI","105","Delay, Eugene Raymond","3"
"ANNB","323","Neurochemistry","93983","A","LEC","M","30","8","14:30","15:45"," T  R    ","HSRF","400","Nishi, Rae ","3"
"ANNB","326","Basic Sci-Neurologic Disease","93985","A","LEC","M","25","0","12:00","13:00"," T      ","HSRF","400","Eckenstein, Felix ","1"
"ANNB","381","Sem in Anatomy & Neurobiology","90069","A","SEM","M","50","10","12:00","13:00","    F   ","HSRF","400","Nishi, Rae ","1"
"ANPS","019","Ugr Hum Anatomy & Physiology","90032","A","LCLB","M","225","226","17:15","20:15","M       ","GIVN E","E131","Beneyto-Santonja, Monica ","4"
"ANPS","019","Ugr Hum Anatomy & Physiology","92168","B","LCLB","M","170","73","17:15","20:15","M       ","ROWELL","103","Beneyto-Santonja, Monica ","4"
"ANPS","019","Ugr Hum Anatomy & Physiology","93986","ZRA","LCLB","C","25","20","17:15","20:15","M       ","GIVN E","E131","Beneyto-Santonja, Monica ","4"
